,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
27,28,1.0,1.0,5.0,0.0,0.0,0.0,1,5,1,68,2,999,1,2,-2.0,93.0,-46.0,1.0,5099.0,0
28,47,3.0,2.0,3.2141296431172615,0.0,0.0,0.0,2,5,4,127,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
29,34,3.0,1.0,3.0,0.0,0.0,0.0,1,8,2,109,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
30,38,6.0,1.0,3.0,0.0,1.0,1.0,1,3,2,113,1,999,1,2,-2.0,93.0,-50.0,2.0,5099.0,0
31,33,2.0,1.0,2.0,0.0,1.0,0.0,2,6,1,393,3,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
32,51,6.0,2.0,3.0,0.0,0.0,0.0,1,6,5,151,2,999,0,1,-3.0,93.0,-41.0,1.0,5076.0,0
33,30,1.0,2.0,6.0,0.0,1.0,0.0,2,6,2,256,1,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
34,48,6.0,1.0,3.0,0.0,0.0,0.0,1,8,4,42,7,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
35,28,1.0,2.0,1.0,0.0,1.0,0.0,2,6,3,525,1,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
36,36,1.0,1.0,5.0,0.0,1.0,0.0,2,5,3,57,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
37,46,7.0,3.0,2.0,0.0,0.0,0.0,1,11,3,499,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
38,31,6.0,2.0,3.2141296431172615,0.0,1.0,0.0,1,5,3,84,1,999,1,2,-2.0,93.0,-46.0,1.0,5099.0,0
39,20,8.0,2.0,3.2141296431172615,0.0,0.0,0.0,1,10,1,137,3,999,3,2,-1.0,95.0,-50.0,1.0,4964.0,0
40,35,2.0,1.0,2.0,0.0,1.0,0.0,1,5,2,31,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
41,38,1.0,1.0,1.0,0.0,1.0,0.0,2,6,5,430,1,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
42,76,9.0,1.0,3.0,0.0,0.0,0.0,1,8,4,126,1,999,1,2,-2.0,94.0,-38.0,1.0,4992.0,0
43,45,4.0,3.0,4.0,0.0,1.0,0.0,1,7,2,211,3,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
44,32,10.0,1.0,6.0,0.0,1.0,1.0,1,5,5,340,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
45,39,7.0,2.0,3.0,0.0,0.0,0.0,1,5,4,412,2,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
46,32,3.0,1.0,3.0,0.0,0.0,0.0,2,11,4,132,1,999,0,1,-0.0,93.0,-42.0,5.0,5196.0,0
47,29,3.0,2.0,1.0,0.0,0.0,0.0,1,5,1,79,2,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
48,44,2.0,1.0,4.0,0.0,0.0,0.0,1,8,1,341,2,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
49,32,2.0,1.0,2.0,0.0,0.0,1.0,1,7,5,157,3,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
50,56,9.0,1.0,3.0,0.0,1.0,0.0,1,6,3,252,1,999,2,2,-3.0,93.0,-41.0,1.0,5076.0,0
51,33,1.0,1.0,1.0,0.0,1.0,0.0,1,5,4,263,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
52,39,7.0,1.0,2.0,0.0,0.0,0.0,1,8,5,215,3,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
53,24,6.0,1.0,3.0,0.0,1.0,1.0,1,9,2,89,2,3,1,3,-3.0,92.0,-30.0,1.0,5018.0,1
54,33,3.0,2.0,3.0,0.0,1.0,0.0,1,5,4,143,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
55,58,4.0,3.0,3.0,0.0,0.0,0.0,2,6,4,40,2,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
56,29,3.0,2.0,3.0,0.0,1.0,0.0,2,6,5,10,27,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
57,31,3.0,1.0,3.0,0.0,1.0,0.0,1,8,4,113,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
58,27,3.0,1.0,3.0,0.0,0.0,0.0,2,5,3,191,5,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
59,60,3.0,3.0,4.0,0.0,1.0,0.0,1,9,3,481,1,999,1,2,-1.0,94.0,-38.0,1.0,4964.0,1
60,55,4.0,1.0,4.0,0.0,1.0,1.0,1,10,1,233,1,999,2,2,-3.0,92.0,-27.0,1.0,5018.0,0
61,37,1.0,1.0,1.0,0.0,1.0,0.0,1,5,3,204,2,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
62,52,3.0,1.0,3.2141296431172615,0.0,1.0,0.0,2,4,3,403,1,6,1,3,-2.0,94.0,-35.0,1.0,5009.0,1
63,46,2.0,1.0,2.0,0.0,1.0,0.0,1,4,1,180,1,999,0,1,-2.0,93.0,-47.0,1.0,5099.0,0
64,42,1.0,3.0,5.0,0.0,1.0,0.0,1,5,3,16,2,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
65,35,3.0,2.0,3.0,0.0,1.0,0.0,1,7,1,447,3,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
66,49,6.0,3.0,3.2141296431172615,0.0,1.0,1.0,1,10,4,81,1,999,0,1,-3.0,92.0,-27.0,1.0,5018.0,0
67,29,2.0,3.0,2.0,0.0,0.0,1.0,2,6,1,361,3,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
68,32,1.0,1.0,1.0,0.0,0.0,0.0,1,11,1,1091,2,5,1,3,-0.0,93.0,-42.0,4.0,5196.0,1
69,37,5.0,1.0,3.0,0.0,0.0,0.0,1,5,5,395,1,999,1,2,-2.0,93.0,-46.0,1.0,5099.0,0
70,39,6.0,2.0,4.0,0.0,0.0,0.0,2,6,1,432,4,999,0,1,1.0,94.0,-42.0,5.0,5228.0,1
71,51,2.0,1.0,2.0,0.0,1.0,0.0,2,7,1,596,3,999,0,1,1.0,94.0,-43.0,5.0,5228.0,1
72,28,3.0,2.0,2.0,0.0,1.0,0.0,1,5,2,59,3,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
73,34,7.0,1.0,3.0,0.0,1.0,0.0,1,5,3,77,4,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
74,31,6.0,2.0,2.0,0.0,1.0,1.0,1,8,2,768,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,1
75,31,3.0,1.0,3.0,0.0,1.0,0.0,1,8,4,96,5,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
76,31,3.0,2.0,3.0,0.0,1.0,0.0,2,6,3,357,2,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
77,38,5.0,2.0,3.0,0.0,0.0,0.0,2,5,4,459,2,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
78,33,11.0,1.0,1.0,0.0,0.0,0.0,2,6,5,11,6,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
79,32,6.0,2.0,3.0,0.0,0.0,0.0,1,8,2,264,12,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
80,54,6.0,1.0,4.0,0.0,1.0,0.0,1,4,1,698,1,999,0,1,-2.0,93.0,-47.0,1.0,5099.0,0
81,41,3.0,3.0,2.0,0.0,1.0,0.0,2,6,2,204,2,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
82,59,2.0,1.0,6.0,0.0,0.0,0.0,1,8,4,93,7,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
83,57,9.0,1.0,3.0,0.0,1.0,0.0,1,4,4,374,1,2,1,3,-2.0,93.0,-47.0,1.0,5099.0,0
84,38,4.0,3.0,3.0,0.0,1.0,0.0,1,11,4,252,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
85,46,3.0,1.0,3.0,0.0,1.0,0.0,2,5,2,158,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
86,37,11.0,2.0,3.0,0.0,1.0,1.0,1,11,2,95,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
87,47,2.0,2.0,1.0,0.0,1.0,0.0,2,6,4,835,3,999,0,1,1.0,94.0,-42.0,5.0,5228.0,1
88,45,3.0,2.0,3.0,0.0,0.0,0.0,1,8,4,505,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,1
89,36,1.0,1.0,5.0,0.0,1.0,0.0,2,7,3,16,1,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
90,40,11.0,2.0,2.0,0.0,1.0,0.0,1,7,1,300,5,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
91,38,1.0,1.0,1.0,0.0,0.0,0.0,1,11,2,180,2,999,1,2,-0.0,93.0,-42.0,4.0,5196.0,0
92,44,1.0,1.0,2.0,0.0,0.0,0.0,2,6,2,390,2,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
93,25,5.0,1.0,3.0,0.0,1.0,0.0,2,5,5,274,2,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
94,30,1.0,2.0,5.0,0.0,1.0,0.0,2,7,2,135,5,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
95,43,7.0,1.0,4.0,0.0,0.0,0.0,1,11,2,257,2,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
96,58,9.0,1.0,5.0,0.0,0.0,0.0,2,5,1,268,3,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
97,31,6.0,1.0,4.0,0.0,1.0,0.0,2,5,3,157,6,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
98,53,7.0,1.0,3.0,0.0,0.0,0.0,1,7,2,477,2,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
99,52,3.0,1.0,3.2141296431172615,0.0,0.0,0.0,1,8,2,91,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
100,37,7.0,1.0,3.0,0.0,0.0,1.0,1,4,5,76,1,999,1,2,-2.0,93.0,-47.0,1.0,5099.0,0
101,58,3.0,1.0,2.0,0.0,1.0,0.0,1,7,2,103,1,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
102,37,2.0,1.0,2.0,0.0,1.0,1.0,1,5,4,436,3,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
103,38,3.0,2.0,3.2141296431172615,0.0,1.0,0.0,1,5,5,191,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
104,33,2.0,2.0,1.0,0.0,1.0,0.0,1,4,4,483,2,999,0,1,-2.0,93.0,-47.0,1.0,5099.0,0
105,45,2.0,1.0,2.0,0.0,1.0,0.0,1,5,5,250,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
106,44,4.0,1.0,4.0,0.0,0.0,0.0,2,5,1,259,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
107,38,1.0,1.0,5.0,0.0,1.0,0.0,2,7,4,389,2,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
108,34,1.0,1.0,1.0,0.0,0.0,0.0,2,6,2,7,1,999,0,1,-2.0,94.0,-40.0,1.0,4992.0,0
109,47,7.0,1.0,3.0,0.0,1.0,0.0,1,7,3,123,1,999,0,1,-3.0,92.0,-34.0,1.0,5076.0,0
110,59,3.0,1.0,3.0,0.0,1.0,1.0,1,7,3,92,1,999,0,1,-3.0,92.0,-34.0,1.0,5076.0,0
111,51,1.0,1.0,6.0,0.0,1.0,1.0,1,8,4,297,2,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
112,31,1.0,1.0,5.0,0.0,1.0,0.0,2,6,3,406,2,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
113,56,7.0,1.0,3.0,0.0,1.0,1.0,1,11,3,104,1,999,1,2,-0.0,93.0,-42.0,4.0,5196.0,0
114,39,3.0,1.0,3.0,0.0,0.0,0.0,2,6,1,135,2,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
115,41,4.0,1.0,3.0,0.0,1.0,0.0,1,11,2,854,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,1
116,41,7.0,3.0,5.0,0.0,1.0,0.0,1,11,4,147,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
117,53,2.0,1.0,2.0,0.0,0.0,0.0,2,5,4,203,4,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
118,35,1.0,1.0,2.0,0.0,0.0,1.0,1,7,1,149,4,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
119,58,9.0,1.0,1.0,0.0,0.0,1.0,1,5,3,144,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
120,25,5.0,1.0,4.0,0.0,1.0,0.0,2,6,3,394,2,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
121,35,1.0,3.0,1.0,0.0,1.0,0.0,1,5,2,523,1,999,1,2,-2.0,93.0,-46.0,1.0,5099.0,0
122,28,2.0,2.0,2.0,0.0,0.0,0.0,1,7,3,73,1,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
123,55,1.0,1.0,4.0,0.0,1.0,1.0,1,5,5,197,3,999,1,2,-2.0,93.0,-46.0,1.0,5099.0,0
124,54,4.0,1.0,6.0,0.0,0.0,1.0,2,5,4,108,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
125,45,6.0,3.0,1.0,0.0,0.0,0.0,1,7,3,80,2,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
126,32,1.0,1.0,1.0,0.0,1.0,0.0,1,4,4,114,1,999,1,2,-2.0,93.0,-47.0,1.0,5099.0,0
127,50,3.0,1.0,1.0,0.0,1.0,0.0,1,8,4,122,3,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
128,75,9.0,1.0,6.0,0.0,0.0,0.0,1,4,2,109,1,999,1,2,-2.0,93.0,-47.0,1.0,5099.0,1
129,33,5.0,3.0,3.2141296431172615,0.0,0.0,0.0,2,5,3,1161,4,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
130,29,7.0,1.0,3.0,0.0,0.0,1.0,1,8,3,181,2,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
131,45,7.0,1.0,3.0,0.0,1.0,0.0,1,5,4,239,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
132,38,3.0,3.0,3.0,0.0,0.0,0.0,1,4,1,360,1,999,0,1,-2.0,93.0,-47.0,1.0,5099.0,1
133,24,2.0,2.0,4.0,0.0,1.0,0.0,2,5,1,314,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
134,41,6.0,1.0,4.0,0.0,1.0,0.0,1,8,1,984,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
135,58,9.0,3.0,2.0,0.0,1.0,0.0,1,6,2,663,1,999,0,1,-3.0,93.0,-41.0,1.0,5076.0,1
136,34,3.0,1.0,3.0,0.0,0.0,1.0,2,5,3,157,2,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
137,34,3.0,1.0,3.0,0.0,0.0,0.0,1,11,1,141,2,999,0,1,-1.0,95.0,-51.0,1.0,4964.0,0
138,37,6.0,3.0,4.0,0.0,0.0,0.0,2,5,3,374,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
139,53,1.0,3.0,6.0,0.0,0.0,0.0,2,6,3,706,1,999,0,1,1.0,94.0,-42.0,5.0,5228.0,1
140,54,6.0,3.0,4.0,0.0,1.0,1.0,1,7,2,797,14,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
141,32,6.0,3.0,4.0,0.0,1.0,0.0,1,11,2,250,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
142,42,3.0,1.0,2.0,0.0,1.0,0.0,1,7,5,311,6,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
143,28,6.0,2.0,4.0,0.0,1.0,0.0,1,8,4,63,2,3,1,3,-3.0,92.0,-31.0,1.0,5076.0,1
144,33,2.0,2.0,2.0,0.0,1.0,0.0,2,5,5,111,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
145,41,1.0,1.0,1.0,0.0,1.0,0.0,1,4,1,148,2,999,0,1,-2.0,93.0,-47.0,1.0,5099.0,0
146,31,2.0,1.0,2.0,0.0,0.0,1.0,1,11,4,49,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
147,40,6.0,1.0,1.0,0.0,0.0,1.0,2,5,4,171,4,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
148,53,4.235494051954358,1.0,1.0,0.0,0.0,1.0,1,11,3,242,1,999,1,2,-3.0,93.0,-30.0,1.0,5018.0,0
149,40,3.0,3.0,3.0,0.0,1.0,0.0,1,8,1,257,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
150,82,10.0,1.0,6.0,0.0,0.0,0.0,2,9,2,279,3,3,2,3,-1.0,94.0,-38.0,1.0,4964.0,1
151,28,1.0,1.0,6.0,0.0,1.0,0.0,1,7,1,113,1,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
152,30,3.0,1.0,2.0,0.0,1.0,0.0,1,11,3,246,3,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
153,31,11.0,2.0,3.0,0.0,1.0,0.0,1,7,2,309,1,6,3,3,-2.0,94.0,-40.0,1.0,4992.0,1
154,32,6.0,2.0,3.0,0.0,1.0,0.0,1,8,3,168,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
155,54,1.0,1.0,6.0,0.0,1.0,0.0,1,8,2,153,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
156,31,1.0,1.0,1.0,0.0,0.0,0.0,1,7,3,152,1,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
157,50,2.0,1.0,3.2141296431172615,0.0,1.0,0.0,1,8,4,90,2,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
158,47,6.0,2.0,3.2141296431172615,0.0,0.0,0.0,1,7,2,117,2,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
159,31,3.0,2.0,2.0,0.0,1.0,1.0,1,5,3,149,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
160,32,11.0,1.0,2.0,0.0,1.0,0.0,1,11,4,640,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
161,46,3.0,2.0,2.0,0.0,1.0,0.0,1,11,1,199,2,999,2,2,-1.0,95.0,-51.0,1.0,4964.0,0
162,47,3.0,2.0,2.0,0.0,0.0,0.0,1,5,1,1114,2,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
163,32,3.0,2.0,2.0,0.0,0.0,0.0,1,11,1,74,2,999,2,2,-1.0,95.0,-51.0,1.0,4964.0,0
164,52,2.0,3.0,2.0,0.0,0.0,0.0,1,11,1,190,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
165,45,3.0,1.0,2.0,0.0,1.0,0.0,1,10,5,738,3,6,1,3,-1.0,95.0,-50.0,1.0,4964.0,1
166,32,3.0,1.0,3.0,0.0,1.0,0.0,1,5,5,374,2,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
167,71,1.0,3.0,6.0,0.0,0.0,0.0,1,8,4,224,1,999,0,1,-2.0,94.0,-38.0,1.0,4992.0,0
168,49,2.0,1.0,2.0,0.0,1.0,0.0,2,5,5,344,2,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
169,46,3.0,1.0,2.0,0.0,1.0,1.0,2,6,3,148,10,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
170,46,1.0,1.0,4.0,0.0,0.0,0.0,1,11,5,383,1,999,0,1,-1.0,95.0,-51.0,1.0,4964.0,0
171,38,3.0,1.0,3.0,0.0,1.0,0.0,1,8,2,35,6,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
172,57,2.0,1.0,4.0,0.0,0.0,0.0,1,8,1,153,2,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
173,41,2.0,2.0,2.0,0.0,1.0,0.0,1,5,1,772,2,999,1,2,-2.0,93.0,-46.0,1.0,5099.0,0
174,44,6.0,1.0,4.0,0.0,0.0,0.0,2,5,5,124,3,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
175,47,6.0,1.0,3.0,0.0,1.0,0.0,1,8,3,345,7,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
176,40,1.0,1.0,1.0,0.0,1.0,1.0,2,5,3,951,2,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
177,57,9.0,2.0,4.0,0.0,1.0,0.0,2,5,1,188,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
178,27,3.0,2.0,3.2141296431172615,0.0,0.0,0.0,1,3,2,128,1,3,1,3,-2.0,93.0,-35.0,1.0,5009.0,1
179,52,1.0,1.0,1.0,0.0,0.0,0.0,1,8,5,809,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,1
180,34,7.0,1.0,3.0,0.0,1.0,1.0,2,6,3,192,1,999,0,1,-3.0,93.0,-41.0,1.0,5076.0,0
181,42,4.0,1.0,3.0,0.0,1.0,0.0,2,5,2,154,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
182,51,6.0,1.0,3.2141296431172615,0.0,1.0,0.0,2,6,5,17,3,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
183,45,7.0,1.0,6.0,0.0,1.0,0.0,2,5,5,100,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
184,56,9.0,1.0,2.0,0.0,0.0,0.0,1,5,1,317,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
185,41,7.0,1.0,3.0,0.0,1.0,0.0,1,5,4,93,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
186,44,3.0,1.0,2.0,0.0,1.0,0.0,1,8,5,111,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
187,50,1.0,1.0,5.0,0.0,1.0,0.0,1,5,1,293,3,3,1,3,-2.0,93.0,-46.0,1.0,5099.0,1
188,54,5.0,1.0,2.0,0.0,0.0,0.0,1,8,2,119,3,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
189,51,1.0,1.0,5.0,0.0,0.0,0.0,1,8,5,393,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
190,30,1.0,2.0,1.0,0.0,0.0,0.0,1,11,3,30,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
191,42,10.0,1.0,6.0,0.0,1.0,0.0,2,6,5,38,8,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
192,41,6.0,1.0,4.0,0.0,1.0,0.0,2,6,1,442,11,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
193,47,2.0,2.0,1.0,0.0,0.0,0.0,1,11,2,187,2,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
194,35,1.0,1.0,5.0,0.0,1.0,0.0,1,4,5,113,1,999,1,2,-2.0,93.0,-47.0,1.0,5099.0,0
195,58,1.0,1.0,1.0,0.0,0.0,0.0,1,11,2,64,1,999,1,2,-0.0,93.0,-42.0,4.0,5196.0,0
196,50,1.0,3.0,2.0,0.0,1.0,1.0,1,7,1,629,2,999,0,1,1.0,94.0,-43.0,5.0,5228.0,1
197,41,6.0,1.0,4.0,0.0,0.0,0.0,2,5,2,92,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
198,38,6.0,1.0,3.0,0.0,1.0,0.0,1,5,3,147,1,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
199,32,8.0,2.0,3.0,0.0,0.0,0.0,1,11,4,151,2,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
